English,South Azerbaijani,Evaluation,Fine-grained evaluation,Error severity,Corrected South Azerbaijani translation
Permits must be reserved in advance. You must have a permit to stay overnight at Sirena.,ایچیره گیرماخ اجازه سی گره قبلانن رزرو اولا. گجه سیرنادا گالماقا گره مجوزز اولا.,,,,
"Sirena is the only ranger station that offers dormitory lodging and hot meals in addition to camping. La Leona, San Pedrillo, and Los Patos offer only camping with no food service.",سیرنا تهجه جنگلبانی ایستگاهی دی کی خابگاهنان ایسسی غذانی کمپ ائلماقدان سورا ارائه ائلیر. لا لئونا، سان پادریلو، و لاس پاتوس فقط کمپ ائلماقی ارائه وریللر و غذا سرویسلری یوخدی.,,,,
"It is possible to secure park permits directly from the Ranger Station in Puerto Jiménez, but they do not accept credit cards",پارک ائلماق مجوزن مستقیم جنگلبانی ایستگاهندا پوئترو جیمینزده آلا بولرسیز اما اولار اعتباری کارتی قبول ائلمیللر.,,,,
The Park Service (MINAE) does not issue park permits more than one month in advance of anticipated arrival.,پارک خدماتی (MINAE) بیر آیدان چوخ پیشبینی اولموش یتیشماق تاریخیننن قاباخ پارک مجوزی ورمر.,,,,
"CafeNet El Sol offers a reservation service for a fee of US$30, or $10 for one-day passes; details on their Corcovado page.",کافه نت ال سول 30 دلار قیمتینن رزرو خدماتی یا 10 دلارنان بیر گوننق مجوز ارائه وریر؛ جزئیات اولارن کورکوادو پیجینده واردی.,,,,
"The Cook Islands are an island country in free association with New Zealand, located in Polynesia, in the middle of the South Pacific Ocean.",کوک جزیره لری بیر جزیره مملکت دیلر کی نیوزیلندنن کی پلی نزی ده قرار تاپپ و اقیانوس آرامن آراسندادی، آزاد ارتباطلاری وار.,,,,
It is an archipelago with 15 islands spread out over 2.2 million km2 of ocean.,او بیر مجمع الجزایردی کی ۱۵ جزیره سی وار کی ۲.۲ کیلومتر مربع اقیانوسدا پراکنده اولوپلار.,,,,
"With the same time zone as Hawaii, the islands are sometimes thought of as ""Hawaii down under"".","جزیره لره کی زمانی منطقه لری هاوایی نر بیردی بعضی وخلر ""استرالیانن هواییسی "" دیللر.",,,,
"Though smaller, it reminds some elderly visitors of Hawaii before statehood without all the large tourist hotels and other development.",دوزدی کی هوایی دان چیچیه تردی اما بعضی قوجا توریستلری هوایین او زمانین یادنا سالر کی ایالت اولمامشدی و بویوه توریستی هتللرنن اوبیسی پیشرفت لر ایجاد اولمامشدی.,,,,
The Cook Islands do not have any cities but are composed of 15 different islands. The main ones are Rarotonga and Aitutaki.,کوک جزیره سین هش شهری یوخدی اما 15 مختلف جزیره دن تشکیل اولوپ. اصلی جزیره لر راروتونگانان ایتوتاکی دیلر.,,,,
"In developed countries today, providing deluxe bed and breakfasts has been raised to a sort of art-form.",ایندی پیشرفته کشورلرده دولوکس تختنن صبحانه ارائه ائله ماخ بیر جور هنری شیه تبدیل اولوپ.,,,,
"At the top end, B&Bs obviously compete mainly on two main things: bedding and breakfast.",یوخاری طرفدین آخرنده تخت نن صبحانه ورن اقامتگاهلار عموما ایکی شین اوسدونده رقابت ائلیللر: تختخواب نان صبحانه.,,,,
"Accordingly, at the finest such establishments one is apt to find the most luxurious bedding, maybe a handmade quilt or an antique bed.",اونا گوره بو تشکیلاتلارن لاپ یاخجسندا بیر نفر ممکندی لاپ لوکس تخت، شاید بیر قشه یورقان یا بیر عتیقه تخت گوره.,,,,
Breakfast may include seasonal delights of the region or the host's speciality dish.,صبحانه ممکندی منطقه نین فصلی یملی شیلری یا میزبانن مخصوص غذاسنا شامل اولا.,,,,
"The setting might be an historic old building with antique furnishings, manicured grounds and a swimming pool.",محیط ممکندی بیر قدیمب تاریخی ساختمان عتیقه اثاثنان، چمنلری تر تمیز حیطنن و استخرنن اولا.,,,,
Getting into your own car and heading off on a long road trip has an intrinsic appeal in its simplicity.,ماشنزا مینماق و بیر اوزون جاده مسافرتنه گتماقن ساده لیقندا بیر ذاتی جاذبه سی وار.,,,,
"Unlike larger vehicles, you are probably already familiar with driving your car and know its limitations.",سیز احتمالا بویوه وسیله لرین برعکسی، اوز ماشینیزن سورماقینن تانشلقز وار و اونون محدودیتلرین بولوسوز.,,,,
Setting up a tent on private property or in a town of any size can easily attract unwanted attention.,شخصی ملکده چادر وورماق یا بیر شهرده ائلیه بولر راحت توجه جلب ائلیه.,,,,
"In short, using your car is a great way to take a road trip but seldom in itself a way to ""camp"".","خلاصه اوز ماشینیزدن استفاده ائلماق جاده ده سفر ائلماقن بیر یاخجی یولدی اما تهجه لقدا"" اتراق ائلماق"" یولی دییر.",,,,
"Car camping is possible if you have a large minivan, SUV, Sedan or Station Wagon with seats that lay down.",ماشینده اتراق ائله ماخ اوواخ ممکندی کی سیز بیر مینی ون، شاسی بلند ماشین، سدان یا استیشن واگنز اولا کی صندللری تخت اولا.,,,,
"Some hotels have a heritage from the golden age of steam railways and ocean liners; before the Second World War, in the 19th or early 20th centuries.",بعضی هتللرین بخار راه آهن لارینن اقیانوس گمی لرینن ایکیمینجی جهانی جنگدن قاباخ و ۱۹ مینجی یا ۲۰ مینجی قرندن یادگارلاری وار.,,,,
"These hotels were where the rich and the famous of the day would stay, and often had fine dining and nightlife.",او زمانن دولتددی و مشهور آداملاری بو هتللرده قالاردلار و معمولا زرق و برقلی شاملاری و گجه تفریحلری وارلاریدی.,,,,
"The old fashioned fittings, the lack of the latest amenities, and a certain graceful agedness are also part of their character.",مددان دوشموش وسایل، لاپ تازا تسهیلاتن اولماماقی و بیر گوزن قدیمی اولماخ اولارن مشخصاتنان دلار.,,,,
"While they are usually privately owned, they sometimes accommodate visiting heads of state and other dignitaries.",اولارن معمولا شخصی صاحبلاری وار اما بعضی وخلر دولت رئیسی یا آیری بویوه مقاملارا یر ورردلر.,,,,
"A traveller with piles of money might consider a round the world flight, broken up with stays in many of these hotels.",بیر مسافر کی چوخلی پولی وار ممکندی دنیانین دوره سینه مسافرت ائلیه و سفرلرین آراسندا بو هتللرین چوخندا قالا.,,,,
A hospitality exchange network is the organization that connects travelers with locals in the cities they are going to visit.,بیر مهمان نوازلق تبادل شبکه سی بیر سازماندی کی مسافرلری او شهردکی بومی لارنان کی اورا باش ووراجاخلار، وصل ائلییر.,,,,
Joining such a network usually just requires filling out an online form; although some networks offer or require additional verification.,بو شبکیه قنوشماقا گوره معمولا فقط بیر آنلاین فرم دلدورماخ لازمدی اما بعضی شبکه لر اضافه اثبات ایسدیللر یا ارائه وریللر.,,,,
"A listing of available hosts is then provided either in print and/or online, sometimes with references and reviews by other travelers.",دسترسده اولان میزبانلارن لیستی کاغاذ اوسدونده و/یا آنلاین صورتده، بعضی وخلر معرفنن اولارن مسافرلرین نظرلرینن ارائه اولور.,,,,
Couchsurfing was founded in January 2004 after computer programmer Casey Fenton found a cheap flight to Iceland but did not have a place to stay.,کوچ سرفینگ 2004 ایلینده اونان سورا کی کامپیوتر برنامه نویسی کیسی فنتون بیر اوجوز پرواز فنلاندا تاپدی اما اوردا گالماقا یری یوخیدی یولا دوشدی.,,,,
He emailed students at the local university and received an overwhelming number of offers for free accommodation.,او او شهرین دانشجولارنا ایمیل ووردی و مفته گالماقا چوخ پیشنهادلار آلدی.,,,,
Hostels cater primarily to young people – a typical guest is in their twenties – but you can often find older travellers there too.,هاستللر چوختر جوان آداملارا –بیر ایمی نچه یاشندا معمولی قوناخ- امکانات فراهم ائلیللر اما چوخ وخلر اوردا قوجاتر مسافرلرده تاپا بولرسیز.,,,,
"Families with children are a rare sight, but some hostels do allow them in private rooms.",اوشاخلی خانواده لری اوردا چوخ آز گوررسز اما بعضی هاستللر اولارا اجازه ورللر خصوصی اتاقدا قالسننار.,,,,
"The city of Beijing in China will be the host city of the Olympic Winter Games in 2022, which will make it the first city to have hosted both the summer and winter Olympics.",پکن شهری چینده ۲۰۲۲ اولمپیکن قش اویونلارین میزبان شهری اولاجاق کی باعث اولاجاخ او اول شهر اولا کی هم قش و هم یای اولمپیک اویونلارن میزبانی اولوپ.,,,,
Beijing will host the opening and closing ceremonies and the indoor ice events.,پکن افتتاحیه نن اختتامیه نن ایچیرده انجام اولان بوز اوسدونده کی ورزشلرین میزبانی اولاجاخ.,,,,
"Other skiing events will be at the Taizicheng ski area in Zhangjiakou, about 220 km (140 miles) from Beijing.",آیری اسکی گتماخ مسابقه لری ژانگجیاکو دا کی تایچیچنگ اسکی منطقه سینده برگزار اولاجاخلار کی پکن دن تقریبا ۲۲۰ کیلومتر (۱۴۰ مایل) فاصله سی وار.,,,,
"Most of the temples do have an Annual festival starting from November end to Mid of May, which varies according to each temple's annual calendar.",چوخ معبدلرین سالانه جشنلری وار کی نوامبرن آخرنده باشلیر و می آین وسطنه جان ادامه سی وار و هر معبدین سالانه تقویمینه گوره فرق ائلیر.,,,,
Most of the temple festivals is celebrated as part of temple's anniversary or presiding deity's birthday or any other major event associated with the temple.,معبدین جشنلرین چوخی، معبدین سالگردین بیر بخشین عنوانندا یا اللهن تولدین اداره ائلماقنا یا هر آیری معبده مربوط اولان مهم اتفاق جشن توتولار.,,,,
"Kerala's temple festivals are very interesting to see, with regular procession of decorated elephants, temple orchestra and other festivities.",کرالانن معبد جشنلرین گورماقی تزئین اولموش فیللرن بیر صفده یرماقینن، معبدین ارکستری و آیری جشنلرنن چوخ جالبدی.,,,,
"A World's Fair (commonly called World Exposition, or simply Expo) is large international festival of arts and sciences.",بیر دنیا نمایشگاهی (کی اونا دنیانن نمایشگاهی یا فقط نمایشگاه دیللر) بیر بویوه بین المللی هنرنن علم جشنواره سیدی.,,,,
Participating countries present artistic and educational displays in national pavilions to showcase world issues or their country's culture and history.,شرکت ائلین مملکتلر هنری نن آموزشی گورستمللیرن ملی غرفه لرده ارائه ائلیللر تا دنیانن مشکللری یا مملکتلرین فرهنگ نن تاریخن نشان ورسیننر.,,,,
"International Horticultural Expositions are specialised events which showcase floral displays, botanical gardens and anything else to do with plants.",بین المللی باغبانی نمایشگاهلاری تخصصی اولموش رویدادلاردلار کی گللری،گیاه شناسی باغلارن و هر شی کی گیاهلارا مربوط دی نمایش ورللر.,,,,
"Although in theory they can take place annually (so long as they are in different countries), in practice they are not.",اولار نظریه ده( اوواخداجان کی مختلف مملکتلرده برگزار اولسوننار) هر ایل برگزار اولا بوللر، اما عمل ده اولمازلار.,,,,
"These events normally last anywhere between three and six months, and are held on sites no smaller than 50 hectares.",بو رویدادلار عادی حالتده اوچ تا آلتی آی چکللر و 50 هکتاردان چوخ منطقه لرده برگزار اولاللار.,,,,
There are many different film formats that have been used over the years. Standard 35 mm film (36 by 24 mm negative) is much the commonest.,چوخ مختلف فیلم فرمتلری وار کی ایللر بویی استفاده اولوپلار. استاندارد 35 میلیمتر فیلم (36 میلیمتر 24 میلیمترده نگاتیو) لاپ رایج دی.,,,,
"It can usually be replenished fairly easily if you run out, and gives resolution roughly comparable to a current DSLR.",ایه فیلم حلقه لریز قوتولسا اونی تقریبا راحات تهیه ائلیه بولرسیز و رزولوشنی ایندیکی DSLR نان تقریبا قابل مقایسه دی.,,,,
"Some medium-format film cameras use a 6 by 6 cm format, more precisely a 56 by 56 mm negative.",بعضی متوسط اندازه سی اولان فیلم دوربینلری 6در6 فرمت یا اونان دقیقه 56در56 میلیمتر نگاتیو ایشلدللر.,,,,
This gives resolution almost four times that of a 35 mm negative (3136 mm2 versus 864).,بونون رزولوشنی تقریبا ۳۵ میلیمتر نگاتیون درد برابری دی (۳۱۳۶ میلی متر مربع، ۸۶۴ میلی متر مربعن قاباقندا).,,,,
"Wildlife is among the most challenging motifs for a photographer, and needs a combination of good luck, patience, experience and good equipment.",وحشی حیوانلار بیر عکاسا لاپ چتین موضوعلارداندلار، و یاخجی شانس، صبر، تجربه نن یاخجی وسایلین ترکیبنه نیازی وار.,,,,
"Wildlife photography is often taken for granted, but like photography in general, a picture is worth a thousand words.",وحشی حیوانلاردان عکس سالماق چوخ وخلر مسلم دی اما عمومیت ده عکاسیه تای بیر عکس مین دانا سوزجان ارزشی وار.,,,,
"Wildlife photography often requires a long telephoto lens, though things like a flock of birds or a tiny creature need other lenses.",وحشی حیوانلاردان عکس سالماقا گوره چوخ وخلر بیر اوزون تله فتو عدسی سی لازمدی اما قوشلارن دسته سی یا چیچیه جنوارلاردان عکس سالماقا آیری لنزلر لازمدی.,,,,
"Many exotic animals are hard to find, and parks sometimes have rules about taking photographs for commercial purposes.",چوخ غیربومی حیوانلارن تاپماقی چتین دی و پارکلار بعضی وخلر تجاری هدفلره عکس سالماقا قانونلاری واردی.,,,,
"Wild animals might either be shy or aggressive. The environment might be cold, hot, or otherwise hostile.",وحشی حیوانلار ممکندی اوتانجاخ یا مهاجم اولاللار. محیط ممکندی سیوخ، چوخ ایستی یا آیری جهتدن خشن اولا.,,,,
"The world has over 5,000 different languages, including more than twenty with 50 million or more speakers.",دنیادا 5000 نن چوخ مختلف دیل وار کی ایمی دیلدن چوخ وار کی 50 میلیون نفر یا اونان چوخ اولاری دانشللار.,,,,
"Written words are often easier to understand than spoken words, also. This is especially true of addresses, which are often difficult to pronounce intelligibly.",همده یازلمش لغتلرین دوشونماقی دییلمیش لغتلرین دوشونماقنان راحات دی. بو مخصوصا آدرسلرین موردنده کی اولاری دوشونملی صورتده تلفظ ائله ماخ چتین دی، دوزدی.,,,,
"Many entire nations are completely fluent in English, and in even more you can expect a limited knowledge - especially among younger people.",بعضی مللتلر هاممسی انگلیسینی کاملاً روان دانشاللار و انتظارز اولا بولر کی مخصوصا جوانلار آیری دیللرده محدود سوادلاری اولا.,,,,
"Imagine, if you will, a Mancunian, Bostonian, Jamaican and Sydneysider sitting around a table having dinner at a restaurant in Toronto.",باشقا سوزله تصور ائلیین کی بیر منچسترلری، بوستونلی، جامائیکالینن سیدنی لی تورنتودا بیر رستورندا بیر میزین دوره سینده اوتوروپلار و غذا ییللر.,,,,
"They're regaling each other with stories from their hometowns, told in their distinct accents and local argot.",اولار وطنلرینن بیر بیرینه داستان دماقنان، کی اولارن مختلف لهجه لرینن عامیانه گویشلرینن دیلر، بیر بیرین باشن قاتللار.,,,,
"Buying food in supermarkets is usually the cheapest way to get fed. Without cooking opportunities, choices are however limited to ready-made food.",سوپرمارکتدن غذا آلماخ معمولا غذا یماقا لاپ راحات یولدی. ایه غذا جوررماقا موقعیتیز اولماسا انتخابز آماده غذایه محدود اولار.,,,,
Increasingly supermarkets are getting a more varied section of ready-made food. Some even provide a microwave oven or other means to heat food.,سوپرمارکتلر چوخالان صورتده آماده غذالارن بخشین داها متنوع ائلیللر. حتی بعضیلری بیر مایکروفر یا آیری وسیله غذانن ایسسیتماقنا ارائه ائلیللر.,,,,
"In some countries or types of stores there is at least one on-site restaurant, often a rather informal one with affordable prices.",بعضی مملکتلرده یا توکانلاردا لاپ آزی بیر رستوران وار کی چوخ وخلر رسمی دییر و قیمتلری مناسب دی.,,,,
Make and carry copies of your policy and your insurer's contact details with you.,بیمه نامه زدن بیر کپی تهیه ائلین و اونان بیمه ائلینزن تماس اطلاعاتن یانزدا ساخلین.,,,,
They need to show the insurer's e-mail address and international phone numbers for advice/authorizations and making claims.,اولار توصیه ائلماقا/ قانونی اجازه ورماقا و خسارت آلماقا گره بیمه ائلینین ایمیل آدرسن و بین المللی شماره تلفنن گئورسدللر.,,,,
"Have another copy in your luggage and online (e-mail to yourself with attachment, or stored in the ""cloud"").","بیر آیری کپی اوز دیلیزده و آنلاین صورتده ساخلیین (اوزوزه پیوست صورتنده ایمیل ائلیین یا"" ابری فضادا "" ذخیره ائلیین).",,,,
"If traveling with a laptop or tablet, store a copy in its memory or disc (accessible without the internet).",ایه مسفرتده یانزدا لپ تاپ یا تبلت وار، اونون حافظه سینده یا دیسکنده بیر کپی ذخیره ائلین( اینترنتسیز اونا دسترسی تاپماق اولسون).,,,,
Also give policy/contact copies to traveling companions and relatives or friends back home willing to help.,همده بیمه نامه/قرارداد کپی لارن همسفرلریزه و فامللریزه یا دوسلارزا کی مایل دیلر کمک ائلسیننر، ورین.,,,,
"Moose (also known as elk) aren't inherently aggressive, but will defend themselves if they perceive a threat.",موس ( کی اونا شمالی گوزنده دیللر) ذاتا مهاجم دیللر اما ایه خطر احساس ائلسلر اوزلرنن دفاع ائلیللر.,,,,
"When people don't see moose as potentially dangerous, they may approach too closely and put themselves at risk.",اوواخ کی آداملار فکر ائلمیللر کی شمالی گوزنلر ممکندی خطرناک اولاللار، ممکندی اولارا چوخ یخین نشللر و اوزلرین خطره سالاللار.,,,,
"Drink alcoholic drinks with moderation. Alcohol affects everyone differently, and knowing your limit is very important.",الکلی ایشملیلری متعادل حدده ایچین. الکل هرنین اوسدونده بیر تاثیری وار و اوزوزون حدزی بولماخ مهم دی.,,,,
Possible long term health events from excessive drinking can include liver damage and even blindness and death. The potential danger is increased when consuming illegally produced alcohol.,اوزون مدتده وارد اولان ممکن سلامت مشکللری کی چوخ مشروب ایشماقا گوره دیلر کبد آسیبی و حتی کور اولماق و اولماقدی. ایه غیرقانونی تولید اولوش الکلدان استفاده ائلیسیز خطرن احتمالی چوخالار.,,,,
"Illegal spirits can contain various dangerous impurities including methanol, which can cause blindness or death even in small doses.",غیرقانونی مشروبلار ممکندی خطرناک ناخالصیلری اولا کی متانولا شامل اولور کی ممکن دی حتی آز مقدارلاردا کورلقا یا اولماقا منجر اولا.,,,,
"Eyeglasses can be cheaper in a foreign country, especially in low-income countries where labour costs are lower.",عینه ممکندی خارجی مملکتلرده مخصوصا حقوق اولاردا آز اولان مملکتلرده کی کارگر هزینه سی اوردا آزدی، داها اوجوز اولا.,,,,
"Consider getting an eye exam at home, especially if insurance covers it, and bringing the prescription along to be filed elsewhere.",اوده گوزلرزی معاینه ائلتدیرین، مخصوصا ایه بیمه اونی پوشش وریر و نسخه نی گترن تا آیری یرده تنظیم اولسون.,,,,
"High-end brand-name frames available in such areas may have two problems; some may be knock-offs, and the real imported ones may be more expensive than at home.",بو منطقه ده اولان باهالی برندلرین قابلاری ممکندی ایکی مشکللری اولا؛ بعضی لری ممکندی کپی اولسوننار و دودان وارد اولموش قابلار ممکنده اوز مملکتزدن باها اولالار.,,,,
"Coffee is one of the world's most traded commodities, and you can probably find many types in your home region.",قهوه دنیانن لاپ چوخ مبادله اولان محصوللارین بیری دی و سیز احتمالا چوخ انواعی اوز منطقزده تاپا بولرسیز.,,,,
"Nevertheless, there are many distinctive ways of drinking coffee around the world that are worth experiencing.",بونان بله چوخ خاص قهوه ایشماخ روشلر دنیادا وار کی اولارن تجربه ائلماقین ارزشی وار.,,,,
"Canyoning (or: canyoneering) is about going in a bottom of a canyon, which is either dry or full of water.",دره نوردی بیر دره نین تکنه گتماخدی کی یا قوری دی یا سودان دولی دی.,,,,
"Canyoning combines elements from swimming, climbing and jumping--but requires relatively little training or physical shape to get started (compared to rock climbing, scuba diving or alpine skiing, for example).",دره نوردی، ائوزماخ، داغا چخماخ، و آتلماقن اصولن ترکیب ائلیر—اما باشلاماقنا تقریبا آز آموزش یا فیزیکی شکله (صخره نوردی، اسکوبانان غواصی ائلماق، یا اوجا داغلاردا اسکی گتماخ نان مقایسه ائلینده) لازم دی.,,,,
"Hiking is an outdoor activity which consists of walking in natural environments, often on hiking trails.",پیاده روی بیر اشیهده انجام اولان فعالیتدی کی طبیعی محیطلرده پیاده روی ائلماقا، چوخ وخلر پیاده روی مسیرلرنده شامل اولار.,,,,
Day hiking involves distances of less than a mile up to longer distances that can be covered in a single day.,روزانه پیاده روی بیر مایلدان آز فاصله لردن تا اوزاختر فاصللره شامل اولار کی تهجه بیر گونده اولاری گتماخ اولار.,,,,
"For a day hike along an easy trail little preparations are needed, and any moderately fit person can enjoy them.",بیر روزانه پیاده رویه بیر راحات مسیرده آز آماده اولماق لازمدی و هر تقریبا ساق آدام ائلیه بولر اولاردان لذت آپارا.,,,,
"Families with small children may need more preparations, but a day outdoors is easily possible even with babies and pre-school children.",چیچیه اوشاقی اولان خانواده لر ممکندی داها چوخ آمادگیه نیازلاری اولا اما بیر گونی اشیهده گچتماخ حتی نوزادلارنان مدرسیه گتمین اوشاخلارنان ممکندی.,,,,
"Internationally, there are nearly 200 running tour organizations. Most of them operate independently.",بین المللی مقیاسدا، تقریبا 200 گاشماق تورن سازمانلاری وار. اولارن چوخی مستقل صورتده اداره اولوللار.,,,,
"The Global Running Tours successor, Go Running Tours networks dozens of sightrunning providers on four continents.",جهانی قاشماخ تورلارن جایگزینی، گو رانینگ تورز چوخلی گاشماقنان منظره لره باخماخ ارائه ائلیننرین درد قاره ده شبکه بندی ائلیر.,,,,
"With roots in Barcelona's Running Tours Barcelona and Copenhagen's Running Copenhagen, it was quickly joined by Running Tours Prague based in Prague and others.",بارسلونانان کپنهاگن رانینگ کپنهاگنا، کی ریشه سی بارسلونانن گاشماق تورلاریدی، پراگن قاشماق تورلاری قوشولدیلار،کی پراگدا و اوبیسی یرلرده اولاردیلار.,,,,
There are many things you have to take into consideration before and when you travel somewhere.,چوخ شیلر وار کی تهجه مسافرت ائلینده و اونان قاباخ گره اولاری نظرده آلاسز.,,,,
"When you travel, expect things not to be like they are ""back home"". Manners, laws, food, traffic, lodging, standards, language and so on will to some extent differ from where you live.","مسافرت ائلینده انتظارز اولسون کی اوصاع اوجور کی"" مملکتیزدیدی ""، اولماسن. اداب، قانونلار، غذا، ترافیک، سکونت یری، استانداردلار، دیل و آیری شیلر بیر حده جان او یردن کی سیز زندگاننق ائلییسیز فرقلی اولاجاخلار.",,,,
"This is something you always need to keep in mind, to avoid disappointment or perhaps even distaste over local ways to do things.",بیر شیی گره همیشه یادزدا ساخلیسز، ایشلری انجام ورلماقن محلی روشنن ناراحت اولماخدان یا حتی بیزار اولماخدان اجتناب ائلیین.,,,,
"Travel agencies have been around since the 19th century. A travel agent is usually a good option for a journey which extends beyond a traveller's previous experience of nature, culture, language or low-income countries.",مسافرت آژانسلاری 19 مینجی قرندن واردلار. بیر مسافرتی آژانس معمولا بیر سفره کی مسافرن تجربه سینن قاباخکی طبیعت، فرهنگ، دیل یا آز حقوقلاری اولان مملکتلرینن فرقلی دی، یاخجی گزینه دی.,,,,
"Although most agencies are willing to take on most regular bookings, many agents specialise in particular types of travel, budget ranges or destinations.",چوخ آژانسلارن چوخی تمایللاری وار چوخ معمولی رزرولری انجام ورسیننر، اما چوخ آژانسلار خاص مسافرت نوعلارندا، بودجه حدودلارندا یا مقصدلرده تخصص لاری واردی.,,,,
It can be better to use an agent who frequently books similar trips to yours.,بهتردی بیر آزانسدان استفاده ائلیسیز کی سیزین مسافرتزه تای مسافرتلری چوخ وخلر رزرو ائلییر.,,,,
"Take a look at what trips the agent is promoting, whether on a website or in a shop window.",او مسافرتلره کی آژانس وبسایتندا یا توکانن ویترینیننده اولاری ترویج ورر باخن.,,,,
"If you want to see the world on the cheap, for necessity, lifestyle or challenge, there are some ways to do that.",ایه ایسدیسیز دنیانی اوجوز گورسیز چون مجبورسز، زندگاننقزن سبکی بودی یا چالش ایسدیسیز، نچه یول اونون انجام ورماقنا وار.,,,,
"Basically, they fall into two categories: Either work while you travel or try and limit your expenses. This article is focused on the latter.",اولار عموما ایکی دستیه تقسیم اولوللار: یا مسافرت ائلینده ایشلیین یا هزینه لرزی محدود ائلین. بو مقاله ایکیمینجین اوسدونده تمرکز ائلییپ.,,,,
"For those willing to sacrifice comfort, time and predictability to push expenses down close to zero, see minimum budget travel.",او آداملارا کی ایسدیللر راحاتدخ، زماننان قابل پیشبینی اولماقی ائلدن ورسیننر تا هزینه لری صفره یخیننتسیننر، لاپ آز بودجه لی سفرلره مراجعه ائلیین.,,,,
"The advice assumes that travellers do not steal, trespass, participate in the illegal market, beg, or otherwise exploit other people for their own gain.",بو توصیه فرض ائلیر کی مسافرلر اورلوخ ائلمیللر، اجازه سیز بیر یره وارد اولموللار، غیرقانونی بازاردا شرکت ائلمیللر، یولچلخ ائلمیللر یا آیری صورتده اوز منفعت لرینه گوره آیری آداملاردان سواستفاده ائلمیللر.,,,,
"An immigration checkpoint is usually the first stop when disembarking from a plane, a ship, or another vehicle.",بیر مهاجرت بازرسی باجه سی معمولا بیر هواپیما، گمی یا آیری وسیله دن پیاده اولاندا بیرمینجی دورماخ یری دی.,,,,
In some cross-border trains inspections are done on the running train and you should have valid ID with you when boarding one of those trains.,بعضی مرزدن گچن قطارلاردا حرکت ائلین قطاردا بازرسیلر انجام اولار و اوواخ کی بو قطارلارن بیرینه مینیسیز گره معتبر شناسایی کارتز اولا.,,,,
"On night sleeper trains, passports may be collected by the conductor so that you do not have your sleep interrupted.",او قطارلاردا کی گجه اوردا یاتاجاخسز، ردیس قطار ممکندی چاسپورتلاری جمع نیه تا سیزی یوخودان اویاتمیه.,,,,
"Registration is an additional requirement for the visa process. In some countries, you must register your presence and address where you are staying with the local authorities.",ثبت نام ائلماق، ویزا پروسه سینه بیر آیری شرطدی. بعضی کشورلرده گره حاضر اولماقزی و اوردا قالان یرین آدرسین محلی مسئوللارا دیسیز تا ثبت اولا.,,,,
This might require filling out a form with the local police or a visit to the immigration offices.,بونا گوره ممکندی لازم اولا محلی پلیس ایستگاهندا بیر فرم دولدوراسز یا مهاجرت اداره سینه باش ووراسز.,,,,
"In many countries with such a law, local hotels will handle the registration (make sure to ask).",چوخ مملکتلرده کی بئله قانونلاری وار، محلی هتللر ثبت نامی انجام ورجاخلار (حتما سوروشون).,,,,
"In other cases, only those staying outside of tourist accommodations need to register.  However, this makes the law much more obscure, so find out beforehand.",آیری موردلرده فقط اولار کی توریستی اقامتگاهلاردان اشیه قاللار گره ثبت نام ائلیللر.  اما بو قانونی مبهمتر ائلیر، اونا گوره قاباخدان سوروشون.,,,,
Architecture is concerned with the design and construction of buildings. The architecture of a place is often a tourist attraction in its own right.,معماری ساختمانلارن طراحی ائلماقنان جوررماقنا مربوط دی. بیر یرین معماری سی اوزی بیر توریستی جاذبه دی.,,,,
Many buildings are quite beautiful to look at and the view from a tall building or from a cleverly-positioned window can be a beauty to behold.,چوخ ساختمانلار گوزل دیلر و منظره بیر اوجا ساخماننان یا بیر هوشمندانه قرار ورلمش پنجره دن گوزل اولا بولر.,,,,
"Architecture overlaps considerably with other fields including urban planning, civil engineering, decorative arts, interior design and landscape design.",معماری آیری حوزه لرینن کی شهری برنامه ریزیه، عمران مهندسیسنه، تزیینی هنرلره، ظراحی داخلیه و منظره طراحی سینا شامل اولور، اشتراکی وار.,,,,
"Given how remote many of the pueblos are, you won't be able to find a significant amount of nightlife without traveling to Albuquerque or Santa Fe.",بونی نظرده توتماقنان کی بو سرخپوستی کتلر نقدر پرت دلر، سز ایه الباکورک یا سانتافه یه گتمیسیز ائلیممسیز چوخ شبانه تفریحلر تاپاسز.,,,,
"However, nearly all of the casinos listed above serve drinks, and several of them bring in name-brand entertainment (primarily the large ones immediately surrounding Albuquerque and Santa Fe).",اما تقریبا کازینولارن هاممسی کی اوسده آدلاری گلدی مشروب سرو ائلیللر و بعضی لری برند تفریحلر گترللر (مخصوصا بویوه کازینولار کی آلباکورکن و سانتافه نین دوره سینده دیلر).,,,,
Beware: small-town bars here are not always good places for the out-of-state visitor to hang out.,مواظب اولون: چیچیه بارلار بوردا همیشه خارجی توریستلرین وقت گچتماقنا یاخجی یر دیللر.,,,,
"For one thing, northern New Mexico has significant problems with drunk driving, and the concentration of intoxicated drivers is high close to small-town bars.",اولا نیو مکزیکونن شمالی چوخلی کفلی لرین ماشین سورماقینن مشکلی واردی و کفلی راننده لرین تراکمی او قدر چوخدی کی شهرین بارلارنا یخین دی.,,,,
Unwanted murals or scribble is known as graffiti.,ناخواسته دیواری نقاشیلره یا خط خطی لره دیوارنگاره دیللر.,,,,
