English,Jinghpaw,Evaluation,Fine-grained evaluation,Error severity,Corrected Jinghpaw translation
"Take a look at what trips the agent is promoting, whether on a website or in a shop window.",Website kaw rai rai madun da ai seng kaw rai rai hkrun lam lajang ai ni hpe ni ndau shabra da ai hpe yu yu u.,,,,
"If you want to see the world on the cheap, for necessity, lifestyle or challenge, there are some ways to do that.","Lama na nang mungkan ga hpe manu hpa ai aprat hku (sh) shingjawng nga ai aprat hku mu mayu yang, dai hpe galaw na matu ladat ni nga ai re.",,,,
"Basically, they fall into two categories: Either work while you travel or try and limit your expenses. This article is focused on the latter.","Malawng hku na gaw, hkrang lahkawng hku sha re taw ai: Hkrun lam hkawm let bungli galaw na kun ja gumhpraw hpe shayawm shakut na kun. Ndai sumrai gaw hpang na wa hpe mahta ai re.",,,,
"For those willing to sacrifice comfort, time and predictability to push expenses down close to zero, see minimum budget travel.","Myit htep nga, aten, tau maram mai ai lam ni hpe machyi hkam gwi ai ni a matu, manu laja nkam ma ai sha hpa nma mayu ai ni a matu, gumhpraw jahpan budget shau dik hte hkrun lam hkawm na nga yang npu de yu u.",,,,
"The advice assumes that travellers do not steal, trespass, participate in the illegal market, beg, or otherwise exploit other people for their own gain.","Dai shana laika gaw hkrun lam hkam ni tara nshang ai gat hkan n lagu na, n tawt lai na, n shang lawm na hte nhpyi sha hkawm na matu kaga hku na gaw kaga masha ni a madu rai ni ntsa amyat n tam sha na matu re ngu maram lu ai.",,,,
"An immigration checkpoint is usually the first stop when disembarking from a plane, a ship, or another vehicle.","Masha htawt shang jepjoi shara langai mi gaw law malaw gaw pyenli langai ngai, sanghpaw li langai ngai (sh) kaga madaw ni kaw yu jang shawng hkring ra ai shara re.",,,,
In some cross-border trains inspections are done on the running train and you should have valid ID with you when boarding one of those trains.,"Mungdan lai di wanleng nkau ni hta, jep ai lam ni hpe wanleng ding yang lagat let sha galaw ai, wanleng langai gaw jarik langai du ai ten nang hta tara shang ID nang hte rau nga taw ra na.",,,,
"On night sleeper trains, passports may be collected by the conductor so that you do not have your sleep interrupted.","Shana yup wanleng ntsa kaw gaw, maigan pru hkawm lakmat ni hpe wanleng hpareng wa e zing la da ya na re dai shaloi she nang yup ai shaloi gin jang ai lam nhkrum na re.",,,,
"Registration is an additional requirement for the visa process. In some countries, you must register your presence and address where you are staying with the local authorities.","Mungdan shang lakmat galaw yang mying chyahpan bang ai gaw shajan galaw ra ai lam re. Nkau mungdan hkan gaw, nang nga ai shara kaw na ginra ahkaw ahkang lu hpung ni hte nang nga ai lam hpe jahpan bang ra nga ai.",,,,
This might require filling out a form with the local police or a visit to the immigration offices.,Dai kaw na pya da dai nrai masha jahpan hta ai rung kaw na laika form hpe htai na ra ai.,,,,
"In many countries with such a law, local hotels will handle the registration (make sure to ask).","Ndai tara nga ai mungdan law malawng hta gaw, mying matsing masat ai lam ni hpe buga ginra na manam jarawp ni galaw ya na re (san na matu hkum malap).",,,,
"In other cases, only those staying outside of tourist accommodations need to register.  However, this makes the law much more obscure, so find out beforehand.","Laga lam hta, sa chyai ai ni nga ai shara a shin gan kaw nga ai ni sha mying chyhpang ra ai. Raitim, dai gaw tara hpe grau nkaja shangun wa ai, dai majaw shawng tam u.",,,,
Architecture is concerned with the design and construction of buildings. The architecture of a place is often a tourist attraction in its own right.,Htingnu gap hpaji gaw nta htingtsip a gaw sharawt lam hte shalat maka hpaji hte seng ai. Dai htingnu gap hpaji hte gaw gap da ai shara gaw shi nan shi byin taw ai lam hpe a yan na bu hkawm masha ni a matu myit shang sha hpa tai ai.,,,,
Many buildings are quite beautiful to look at and the view from a tall building or from a cleverly-positioned window can be a beauty to behold.,"Nta law law gaw yu chyai na matu grai tsawm ai re, ngut na nta tsaw kaw na yu chyai shara (sh) hku wat pat kaw na yu mada ai mung grai tsawm nga ai.",,,,
"Architecture overlaps considerably with other fields including urban planning, civil engineering, decorative arts, interior design and landscape design.","Htingnu gap hpaji gaw mare gaw de ai, mare lang jak hpaji, mawn sumli, kata maka shatawm ai lam hte pa layang maka shatsawm ai lam ni lawm ai kaga bungli dabang ni hte bungli kahtap taw ai.",,,,
"Given how remote many of the pueblos are, you won't be able to find a significant amount of nightlife without traveling to Albuquerque or Santa Fe.","Spain ga ga ai masha law law nnga mat ai hpang, nang gaw Albuquerque (sh) Santa Fe de ndu hkawm ai sha shana poi ginra lak lai ai namchyim hpe nlu hkam sha na re.",,,,
"However, nearly all of the casinos listed above serve drinks, and several of them bring in name-brand entertainment (primarily the large ones immediately surrounding Albuquerque and Santa Fe).","Kaning rai nme law, hpaida wang ni yawng ngu na daram gaw luhpa ni daw jaw ai hte nkau mi gaw mying loi gumhkawng ai shangwi shapyaw ai baw ni jashawn da ma ai (grau kaba ai ni mahtang gaw Albuquerque hte Santa Fe hpe shing grup da ai).",,,,
Beware: small-town bars here are not always good places for the out-of-state visitor to hang out.,Sadi u: mare kaji ni hta nga ai tsa seng ni gaw maigan masha ni sa chyai na matu ayan n htap htuk ai shara ni re.,,,,
"For one thing, northern New Mexico has significant problems with drunk driving, and the concentration of intoxicated drivers is high close to small-town bars.","Lam langai a matu, nna dingdung Mexico Nnan kaw tsa lu nna madaw gau ai gaw manghkang kaba re, tsa nang ai madaw gau ai ni gaw mare kahtawng kaw na tsa seng kasha kaw sha myit du ma ai.",,,,
Unwanted murals or scribble is known as graffiti.,Masha nra ai shadaw kaw ai dai nrai lung kaw ka ni hpe graffiti ngu chye ma ai.,,,,
"While it's far from a modern phenomenon, most people probably associate it with youth vandalizing public and private property using spray paint.",Ndai gaw daini na prat mabyin masa ni kaw na tsan mat wa ai aten hta masha law malawng gaw ndai hpe ramma ni a shawa hte seng ai arung arai dum nta ni hpe jahten kau ya ai lam hte dinghkrai hte seng ai arung arai ni hpe dumtsit tsi hte sumla tsi chya ai lam hta jai lang ai lam ni hte shabung kau ya nhten.,,,,
"However, nowadays there are established graffiti artists, graffiti events and ""legal"" walls. Graffiti paintings in this context often resemble artworks rather than illegible tags.","Raitim, ya ten hta graffiti ninghkring, graffiti lamang ngut nna tara shaing ai shakum ni hpe hpang wa ai. Graffiti sumla ka ai gaw tara nshang ai hta sumla hpanji ni hpe mahkawng wa ai.",,,,
Boomerang throwing is a popular skill that many tourists want to acquire.,Gawngwai laknak gabai ai lam gaw mungkan bu hkawm masha grai law wa hkaja la mayu ai mying gumhkawng ai kungkyang lam langai mi rai nga ai.,,,,
"If you want to learn throwing a boomerang that comes back to your hand, make sure you have a suitable boomerang for returning.","Lama na nang, gawngwai laknak kabai sharin mayu ai rai yang, kaja htap hkuk manu ai hpe lang u.",,,,
Most boomerangs available in Australia are in fact non-returning. It is best for beginners to not try throwing in windy,Australia hta mai lu ai Boomerang malawng gaw kaja nga yang bai nhtang nwa ai baw re. Nnan lang hpang ai ni a matu kaja dik gaw nbung bung ai ten nkabai yang kaja na re.,,,,
A Hangi Meal is cooked in a hot pit in the ground.,Hangi Lusha langai hpe ga kata na kahtet ai nhkun kaw shadu ai.,,,,
"The pit is either heated with hot stones from a fire, or in some places geothermal heat makes areas of ground naturally hot.","Dai nhkun gaw wan hte kahtet ai nlung hte nat kahtet da ai nhkun mi rai yang, dai nrai lamu ga nan shi shi kahtet ai shara re taw ai nhkun re.",,,,
The hangi is often used to cook a traditional roast style dinner.,Htunghking hte seng ai kakang da ai malu masha shana shat hpe shadu kachyawng ai hta law malawng gaw hangi hpe lang ai.,,,,
"Several places in Rotorua offer geothermal hangi, while other hangi can be sampled in Christchurch, Wellington and elsewhere.","Kaga hangi ni hpe X'stu Naw ku jawng, Wellington hte kaga shara hkan sha mai lu ai rai tim, Rootua a shara law law kaw geothermal hangi ni hpe jaw nga ai.",,,,
MetroRail has two classes on commuter trains in and around Cape Town: MetroPlus (also called First Class) and Metro (called Third Class).,MetroRail hta dingyang hkawm wanleng hte Cape Mare kaba grup hkawm ai wan leng ngu dum hkum hpan lahkawng nga ai: MetroPlus (Nambat langai Dum hkum ngu mung tsun ai) hte Metro (Nambat masum Dum hkum ngu tsun ai).,,,,
"MetroPlus is more comfortable and less crowded but slightly more expensive, though still cheaper than normal metro tickets in Europe.","MetroPlus wanleng gaw zing ai re nna masha nau nhpring chyat ai re rai timung, Europa dan na yu maya metro lakmat ni hta grau nna manu hkyem sa ai re tim, shi gaw kachyi myi grau gaw manu hpu ai re.",,,,
Every train has both MetroPlus and Metro coaches; the MetroPlus coaches are always on the end of the train nearest Cape Town.,Wanleng shagu gaw MetroPlus hte wanleng gawk ni nga ai re; Metroplus gawk ni gaw galoi mung Cape Town hte ni dik htum ai wanleng a hpang jahtum de nga ai re.,,,,
"Carrying for others - Never let your bags out of your sight, especially when you are crossing international borders.","Kaga ni a rai hpai karum yang, grau nna gaw mungkan ga daga hte seng ai lamu ga jarik ni hpe lai ai shaloi tinang a rai ni hpe tinang myi npu na galoi hkum shamat kau u.",,,,
"You could find yourself being used as a drug carrier without your knowledge, which will land you in a great deal of trouble.",Nang pi n chye dat ai sha nang hpe nanghpam tsi shabra ai wa hku jamjau jamhkau byin hkra jai lang katut ai lam ni byin chye ai.,,,,
"This includes waiting in line, as drug-sniffing dogs could be used at any time without notice.",Namhpan chye manam ai gwi hpe shana ai lam nnga ai gara ten kaw tim mai lang ai zawn ndai gaw kata ta taw ai kaw lawm ai.,,,,
Some countries have exceedingly draconian punishments even for first time offenses; these can include prison sentences of over 10 years or death.,"Nkau mungdan hkan gaw alat shingshawng hku nna ninghkap gasat ai raitimung ari kaba jaw ma ai, dai mara kaw 10 ning hta jan nna htawng jahkrat ai lam (sh) si ari ni du hkra lawm nga ai.",,,,
Unattended bags are a target for theft and can also attract attention from authorities wary of bomb threats.,Madu nnga ai nhpye ni gaw lagut ni a masat rai nga ai. Dai hta sha n-ga seng ang ai magam ni hpe bawm hte jahkrit shama na hpe hkrit tsang ai lam byin pru na matu myit gang ya nga ai.,,,,
"At home, due to this constant exposure to the local germs, odds are very high that you're already immune to them.","Ginra shara hkan na ana ni hpe matut manoi tam shapraw wa ai a majaw, nta hkan nang dang hkam jan ngut sai re nga ana zingli ni hpe n-gun jaw ai lam gaw grau tsaw wa nga ai.",,,,
"But in other parts of the world, where the bacteriological fauna are new to you, you're far more likely to run into problems.",Raiti mung na a matu bacteria jep lam hte seng nna ginra pra dusat nnan naw re nga ai mungkan ga a laga daw chyen ginra ni kaw gaw nang mang hkang kata de grau gat bang katut na zawn re nga ai.,,,,
"Also, in warmer climates bacteria both grow more quickly and survive longer outside the body.",Kahtet ai du hkra ladaw hta bacteria ni gaw grau gaba lawan ai ngut nna masha hkum kaw nrai yang grau na hkra hkrung ma ai.,,,,
"Thus the scourges of Delhi Belly, the Pharaoh's Curse, Montezuma's Revenge, and their many friends.","Dai majaw Delhi Belly a damhkawn shingna, Pharaoh a dagam dala, Montezuma a matai htang ai lam hte shanhte a manang grai law wa mi.",,,,
"As with respiratory problems in colder climates, intestinal problems in hot climates are fairly common and in most cases are distinctly annoying but not really dangerous.","Grau kashung ai du hkra ladaw ni hta nsa sa lam manghkang nga chye ai zawn, kahtet ta hta mung pu hte seng ai ana ni law law byin chye nga ai, ngut na mabyin law malawng gaw myit ru hpa rai tim nau gaw ntsang ra ai.",,,,
If traveling in a developing country for the first time – or in a new part of the world – don't underestimate the potential culture shock.,Lama na galu kaba sai mungdan ni de alat ningshawng mungkan ga a ginra nnan de bu hkawm ai re yang mai byin wa na htunghking kajawng kaja ai lam ni hpe hkum yu kaji.,,,,
"Many a stable, capable traveler has been overcome by the newness of developing world travel, where many little cultural adjustments can add up quickly.",Ngang kang ai ai hte atsam rawng ai bu hkawm masha grai law hpe htunghking hte seng ai jahkaw la ai lam kasha ni law law wa hpe lawan ladan bang la mai ai mungkan a rawt jat galu kaba wa ai bu hkawm ai lam ning nan ni gaw badang dip la kau sai re.,,,,
"Especially in your initial days, consider splurging on Western-style and -quality hotels, food, and services to help acclimatize.","Grau nna gaw anhte a nnan hpang wa ai nhtoi ni hta, Sinna hkran ni a prat lai kasi lang ai lam hte madang tsaw ai manam jarawp ni, lu sha ni hte nga man wa hkra garum ya na matu galaw daw jau ya ai lam ni a matu gumhpraw jai wa ra na lam hpe myit sawn shalawm ra nga ai.",,,,
Do not sleep on a mattress or pad on the ground in areas where you do not know the local fauna.,Nang nchye ai jau man ginra ni hkan na ga ntsa na si htun panep wawp wawp re ai panep hkan e nmai yup ai.,,,,
"If you are going to camp out, bring a camp cot or hammock to keep you away from snakes, scorpions and such.","Lama nang camp pru hkawm na re yang, lapu, n-gaw gawk zawn re kaw na makawp lu na matu yup ku kaji sing goi hpai gun u.",,,,
Fill your home with a rich coffee in the morning and some relaxing chamomile tea at night.,Jahpawt hta na nta ting manu dan ai kaphi lu nna shana gaw chamomile hpalap lu nna shalan shabran u.,,,,
"When you're on a staycation, you have the time to treat yourself and take a few extra minutes to brew up something special.","Nta makau hkan ban sa la ai lam galaw nga ai shaloi, tinang hkrai nga chyai na matu aten ni grai law nga nna, hpalap hpe laksan lak lak lai lai gayau chyai na matu mung aten nga ai re.",,,,
"If you're feeling more adventurous, take the opportunity to juice or blend up some smoothies:","Lama na nang grau nna nhkrit ntsang byin mayu ai zawn nga yang, namsi ntsin galaw namsi ntsin ni hpe gayau na ahkaw ahkang hpe la dat u.",,,,
maybe you'll discover a simple beverage that you can make for breakfast when you're back to your daily routine.,"ayan na bungli hkrang masa hku bai galaw sa wa ai shaloi, manap lusha a matu tinang hkyen lajang la mai ai yu maya luhpa hpe byin mai yang mu tam wa na re.",,,,
"If you live in a city with a varied drinking culture, go to bars or pubs in neighborhoods you don't frequent.","Nang tsa chye lu ma ai ladat nga ai myu kaw nga yang, nta makau kaw na tsa seng de sa ai nau nga na re.",,,,
"For those unfamiliar with medical jargon, the words infectious and contagious have distinct meanings.","Tsi hpaji hte seng ai laksan ga ni hpe nmawn shi ai wa a matu gaw, ana kap loi ai (infectious) hte ana kap chye ai (contagious) ngu ai ga si lahkawng gaw lachyum shai ma ai.",,,,
"An infectious disease is one that is caused by a pathogen, such as a virus, bacterium, fungus or other parasites.","Kap bra ana langai gaw hkrung kanu, bacterium, kamu (sh) kaga hkan kap latung zawn re pathogen ana hpe shabyin ya mai ai.",,,,
A contagious disease is a disease which is easily transmitted by being in the vicinity of an infected person.,Kap chye wa ai ana zinli langai gaw ana kap taw ai masha langai ngai a makau kaw nga nga ai shaloi aloi sha kap wa chye ai baw ana re.,,,,
"Many governments require visitors entering, or residents leaving, their countries to be vaccinated for a range of diseases.",Asuya law law gaw mungdan shang wa ai ni (sh) mungdan na pru ai ni hpe dai mungdan ni hta ana amyu hpan a matu makawp maga tsi tsi ra nga ai.,,,,
These requirements may often depend on what countries a traveller has visited or intends to visit.,Ndai ra ahkyak ai lam ni gaw bu hkawm masha wa sa na mungdan (sh) sa mayu ai mungdan ni hta mahta ai re.,,,,
"One of strong points of Charlotte, North Carolina, is that it has an abundance of high-quality options for families.",Carolina a dingdung maga rai nga ai Charlotte a hkrak dik htum ai lam ni kaw na langai mi gaw dinghku ni a matu madang tsaw ai lata hpa law law nga ai rai nga ai.,,,,
"Residents from other areas often cite family-friendliness as a primary reason for moving there, and visitors often find the city easy to enjoy with children around.","Laga shara kaw na masha ni dai myu de htawt ai a lachyum gaw, ngut nna sa chyai ai nigaw dai kaw ma ni hte grai pyaw ma ai.",,,,
"In the past 20 years, the amount of child-friendly options in Uptown Charlotte has grown exponentially.","Lai wa sai shaning 20 hta, Charlotte myu kaba hta ma ni pyaw mai ai hpan ni grau grau lawan ladan law htam wa ai.",,,,
"Taxis are not generally used by families in Charlotte, though they can be of some use in certain circumstances.","Taxi mawdaw ni hpe Charlotte na nta masha ni masa lam loi mi hkan sha lang ai raitim, malawng maga gaw nlang ma ai.",,,,
"There is a surcharge for having more than 2 passengers, so this option might be more expensive than necessary.","Bu hkawm masha lahkawng a matu manu shahpu grau hkrat na re, dai majaw ndai hpe lata la ai lam gaw ra ai hta jan nna gumhpraw grau ma na re.",,,,
"Antarctica is the coldest place on Earth, and surrounds the South Pole.","Antarctica gaw mungkan ga ntsa e katsi dik htum ai shara langai rai nna, shi gaw dingda maga de na matu hpe shinggrup tawn da ai re.",,,,
"Tourist visits are costly, demand physical fitness, can only take place in summer Nov-Feb, and are largely limited to the Peninsula, Islands and Ross Sea.","Bu hkawm ai ni gaw ja gumhpraw ma ai, hkum hkrang hkam kaja ra ai, ginhtawng ta Nov-Feb laman sha mai hkawm ai, ngut na zundawn, zunlawng, Ross panglai hkan de sa chyai na matu shadawn masat lam nga ai.",,,,
A couple of thousand staff live here in summer in some four dozen bases mostly in those areas; a small number stay over winter.,Ginhtawng ta hta dai shara malawng shara mali shi jan hkan bungli galaw masha hking hku na nga ma ai; nshung ta hta gaw masha kachyi mi nga ma ai.,,,,
Inland Antarctica is a desolate plateau covered by 2-3 km of ice.,Hkyen 2-3 km hte ka'up da ai Antarctika kawng lam gaw shingran katsi ai bumpa layang langai re.,,,,
"Occasional specialist air tours go inland, for mountaineering or to reach the Pole, which has a large base.",Nbungli mahkrum madup hkrun lam hpe bum lung ai ni a matu (sh) grai kaba ai dap nga ai mungkan jahtum du na matu kawng kaw sha galaw wa ai.,,,,
The South Pole Traverse (or Highway) is a 1600 km trail from McMurdo Station on the Ross Sea to the Pole.,Dingdung Pole Traverse (dai nrai lam kaba) gaw Ross panglai a McMurdo shara kaw na Pole duhkra 1600 km tsan ai re.,,,,
"It's compacted snow with crevasses filled in and marked by flags. It can only be traveled by specialized tractors, hauling sleds with fuel and supplies.",Dai shara gaw hkyen ni hte hkyen hka lwi hkang ni hte chyu hpring chyat nga nna dawnghkawn hte masat tawn da ai. Dai kaw gaw hpang kaw sau ni gunrai ni htaw na matu leng matut da ai baw hte laksan galaw shapraw da madaw jak ni rau sha mai hkawm sa nga ai.,,,,
These aren't very nimble so the trail has to take a long swerve around the Transantarctic Mountains to come onto the plateau.,Ndai ni gaw nau n lawan ai majaw hkrun lam gaw kawng tsaw bumpa de du na matu Transantarctic bum ni makau kaw grai galu hkra magaw kau ra ai.,,,,
"The most common cause for accidents in winter is slippery roads, pavements (sidewalks) and especially steps.","Nshung ta na hkala nba byin chye dik ai lam gaw lam maw hkan, manep lam (masha hkawm lam) hkan, grau nna ninggam ni hta gashawt chye ai re.",,,,
"At a minimum, you need footwear with suitable soles. Summer shoes are usually very slippery on ice and snow, even some winter boots are deficient.",Nlaw htum gaw hkyepdin hte htap htuk ai hkyepdin pa hpun ra na re. Ginhtawng ta hkyepdin ni gaw hkage hte hkyen ni kaw manen ai kashung ta hkyepdin ni pyi gaw naw ningra ai.,,,,
"The pattern should be deep enough, 5 mm (1/5 inch) or more, and the material soft enough in cold temperatures.","Maka kumla gaw 5 mm (1/5 letma) hta jan yang ram la sai, rungrai gaw katsi ai masat shadang hta re yang anya nga sai.",,,,
"Some boots have studs and there is studded add-on equipment for slippery conditions, suitable for most shoes and boots, for the heels or heels and sole.",Nkau buk hkyep din ni gaw hkyepdin laju ni lawm nna kashawt ai ginra matu hte hkyepdin lahtin ni yawng a matu htap htuk manu ai laksan shakap la na hkyepdin laju ni mung nga nga ai.,,,,
"Heels should be low and wide. Sand, gravel or salt (calcium chloride) is often scattered on roads or paths to improve traction.","Lagaw lahtin ni gaw nem nnga dam dam re ging ai. Zaibru, lung sha jum (calcium chloride) ni gaw gang dun n-gun grau nga na matu lam nmaw lam kaji hkan de jahkring hkring bra taw ai.",,,,
"Avalanches are not an abnormality; steep slopes can hold only so much slow, and the excess volumes will come down as avalanches.",Bum ntsa kaw na numri tawng gaw shihkrai numri bum ntsa kaw na dik hkrak wa chye ai baw re.,,,,
"The problem is that snow is sticky, so it needs some triggering to come down, and some snow coming down can be the triggering event for the rest.","Manghkang gaw numri grai hkrat ai lam rai nga ai, dai majaw hkawm sa na matu lam ni hpe galaw la ra nga ai hte kalang marang nuri hkrat ai lam ni gaw lam byin taw chye ai.",,,,
"Sometimes the original trigging event is the sun warming the snow, sometimes some more snowfall, sometimes other natural events, often a human.","Kalang lang dai lamang ni gaw numri ni hpe jan hte shalum ya ai, kalang lang numri grau hkrat ai, kalang lang langa lamang ni hpe masha ni galaw ma ai.",,,,
"A tornado is a spinning column of very low-pressure air, which sucks the surrounding air inward and upward.",Bunghpoi laru gaw nbung na kata de ntsa de na grup yin ma hkra hpe chyup la nna dip n-gun grai nem ai nbung gayin shadawn langai re.,,,,
"They generate high winds (often 100-200 miles/hour) and can lift heavy objects into the air, carrying them as the tornado moves.","Shanhte gaw nbungl grai gawut ai (ayang 100-200 miles/hking) ngut nna rai kaba hpe pi hpai mat ai, magoi ladi nbung laru hkawm ai hta hpai mat ai.",,,,
"They begin as funnels descending from storm clouds, and become ""tornadoes"" when they touch the ground.",Shanhte gaw nbung laru kaw na summwi ni hti zawn yu wa ai hku hpang wa nna shanhte ni ga de hkra ai hte gaw bunghpoi laru byin wa ai re.,,,,
Personal VPN (virtual private network) providers are an excellent way of circumventing both political censorship and commercial IP-geofiltering.,Tingkyeng hte seng ai VPN (Kompyuta matsun hte nga ai dinghkrai kompyuta hkridun) galaw shapraw ya ai ni gaw mung masa jep joi ai lam hte hpaga IP-geofiltering lahkawng yan hpe kaja htum ai hku koi yen ai ladat re.,,,,
"They are superior to web proxies for several reasons: They re-route all Internet traffic, not only http.",Shahte gaw web galaw ai lam hta madi madun lam law law hku na awng dang ai ni re: Shahte gaw http sha n-ga Internet hting let sa taw ai lam yawng hpe bai byeng la ma ai.,,,,
They normally offer higher bandwidth and better quality of service. They are encrypted and thus harder to spy on.,"Ayan shanhte ni grau kaja ai galaw jaw ai hte grau tsaw ai bandwidth jaw ai. Shanhte ga makoi da ai, dai majaw kin-yu yu na yak ai.",,,,
"The media companies routinely lie about the purpose of this, claiming that it is to ""prevent piracy"".","Shiga dap ni gaw ""masha ni a laksan shiga lamang ni hpe makawp maga na matu"" ngu nna tsun let galoi mung masu nga ai.",,,,
"In fact, region codes have absolutely no effect on illegal copying; a bit-for-bit copy of a disk will play just fine on any device where the original will.","Kaja sha, dai shara kaw na code gaw tara nshang ai re; laga galaw da ai ni ningpawt galaw da ai hpe mai hpaw ai jak kaw mai na re.",,,,
The actual purpose is to give those companies more control over their markets; it's all about money spinning.,Teng sha yaw shada lam gaw hpaga hpung ni hpe shanhte a gat lawk ni ntsa ahkang aya grau jaw lu na matu re; ja gumhpraw hpe kyi da shangun ai lam re.,,,,
"Because calls are routed over the Internet, you do not need to use a phone company located where you live or where you travel.","Shaga na matu internet hte sha lajang da ai majaw re, nang sa chyai ai shara dai nrai nga ai shara kaw na hpung hte nshaga ra ai re.",,,,
"There is also no requirement that you obtain a local number from the community in which you live; you can obtain a satellite Internet connection in the wilds of Chicken, Alaska and select a number which claims you're in sunny Arizona.","Nang nga ai shawa uhpung na buga nambat hpe hkam la pyi nra ai; Alaska, Chicken bum karing na jak shagan jodu internet connection hpe nang mai lu ai dai hpang nang jan pru ai Arizona kaw nga taw ai ngu hpe hpaw tsun ai nambat langai hpe lata u.",,,,
"Often, you have to buy a global number separately that allows PSTN phones to call you. Where the number is from makes a difference for people calling you.",Chyhkring hkring nang hpe shaga na matu PSTN ga shaga jak ahkang jaw da ai san san garan da ai mungkan nambat hpe nang mari ra na. Nang hpe masha ni shaga wa na matu dai nambat gaw jashai da ai shara kaw na du wa ai.,,,,
Real-time text translator apps – applications that are capable of automatically translating whole segments of text from one language into another.,Real-time ngu ai ga shalai ai apps-applications gaw ga langai kaw na langai de laika yawng hpe lu shalai ya ai.,,,,
Some of the applications in this category can even translate texts in foreign languages on signs or other objects in the real world when the user points the smartphone towards those objects.,Ndai amyu hpan kaw lawm ai app nkau mi gaw smartphone lang ai wa arai ni hpe dai phone hte shayawng ai ten hta pru wa ai kum ni (sh) arung arai ni hpe maigan ga hku ka da ai laika ni hpe ga gale ya lu nga ai.,,,,
"The translation engines have improved dramatically, and now often give more or less correct translations (and more seldom gibberish), but some care is due, as they still may have gotten it all wrong.","Ga shalai ya ai gaw grai hkrak taw sai re, ngut nna chyhkring hkring jaw ai ni nga ai (ngut nna lachyum npru ai ni law law hpe), raitim shut ai ni yawng nga mat sai majaw nkau mi shpe naw tsang ra ai.",,,,
"One of the most prominent apps in this category is Google Translate, which allows offline translation after downloading the desired language data.","Ndai amyu bawhpan kaw na dan dawng htum app ni kaw na langai gaw, internet kaw na ra sharawng ai ga hpan jahpan lamang ni hpe kaga de htawt la da ngut ai hpang ai internet nra ai sha ga gale ai lam galaw la lu na ahkang jaw ya ai Google ga gale ai lam re.",,,,
Using GPS navigation apps on your smartphone can be the easiest and most convenient way to navigate when out of your home country.,Na a smartphone kaw GPS lam madun ai app hpe jai lang ai gaw na mungdan na pru mat wa ai ten htawng madun lu n amatu loi dik ai hte manu dik ai app langai re.,,,,
"It can save money over buying new maps for a GPS, or a standalone GPS device or renting one from a car rental company.",Dai gaw GPS a matu lamu ga sumla nnan mari na gumphraw mai mahkawng la ai mawdaw shap sha hpaga hpung kaw na shap mai ai langai hkrai lang GPS mari na matu gumhpraw mai mahkawng la ai.,,,,
"If you don't have a data connection for your phone, or when it is out of range, their performance can be limited or unavailable.","Lama na nang na phone kaw internet hte matut ya ai lam nnga yang gaw, masat da ai a shinggan de rai taw yang gaw shanhte a bungli galaw ai lam ni gaw shadang masat tawn hkrum mai ai nlu lang wa chye ai re.",,,,
Every corner store is filled with a confusing array of pre-paid phone cards that can be used from pay phones or ordinary telephones.,Jut seng shagu kaw gumhpraw shawng bang na mai lang ai phone hte mi na telephone ni hta tau gumhpraw bang sha hta nchye na na daram hpring taw ai.,,,,
"While most cards are good for calling anywhere, some specialise in providing favourable call rates to specific groups of countries.","Kat pa yawng ngu na daram shara shagu kaw phone shaga na matu hkrak nga ai shaloi, nkau mungdan uhpung ni gaw grau shaga pyaw na matu phone shaga masat shadang hpe alak mi galaw da ma ai.",,,,
Access to these services is often through a toll-free telephone number that can be called from most phones without charge.,Ndai galaw jaw ya ai lam ni hpe lu na matu gaw jahpu manu nla ai sha ga shaga jak law malawng kaw na mai shaga ai manu jahpu njaw ra ai ga shaga jak ni hku nna kalang marang mai re.,,,,
"Rules regarding regular photography also apply to video recording, possibly even more so.",Ayan dem ai sumla dem hpaji hte seng ai rip kawp ni mung sumla hkrung dem ai hta mai byin yang grau nna pyi jai lang ai.,,,,
"If just taking a photo of something isn't allowed, then you shouldn't even think of recording a video of it.","Sumla pi ngayet shangun yang, sumla hkrung gayet na amtu myit pi hkum myit.",,,,
"If using a drone, check well in advance as to what you are allowed to film and what permits or additional licensing are required.","Lama na jak pyen kem ra lang na re yang, nang hpa sumla ni hpe gayet na ahkang nga ai hte hpa ahkang jaw lakmat (sh) kahtap nna hpa ahkang jaw lakmat ni lu ra ngu ai lam hpe shawng atsawm jep maram yu u.",,,,
"Flying a drone near an airport or over a crowd is almost always a bad idea, even if it's not illegal in your area.","Drone (lamu ntsa pyen hkawm ai jak) ni hpe nang nga taw ai shara kaw tara nshang yang pi, nbungli daru makau hkan shing nrai, shawa hpawng ntsa hkan pyen hkawm ai gaw n galaw ging ai lam re.",,,,
Nowadays air travel is only rarely booked directly through the airline without first searching and comparing prices.,Ya prat hta pyenli hku hkawm sa ai hta pyenli company na manu hte ading tawk shawng sawk tam nna manu shing daw ai lam nnga ai daram kalang ta lakmat htet la ma ai.,,,,
Sometimes the same flight can have vastly differing prices at various agregators and it pays to compare search results and to also look at the website of the airline itself before booking.,"Kalang lang gaw internet kungpani law ai majaw pyenli manu grai shai hkat ma sai, sawk tam mahtai ni hpe shingdaw nna nhtet shi yang dai pyenli kungpani na website kaw na hte shingdaw nna gumhpraw jaw ai.",,,,
